date,close,high,low,open,volume
2024-10-18,1347.6616,1356.7085,1329.8404,1340.5976,12082452
2024-10-21,1357.4769,1362.2359,1346.1002,1355.4197,14067408
2024-10-22,1331.8481,1364.2186,1328.7499,1357.4768,15831960
2024-10-23,1327.0645,1345.8522,1323.5696,1326.0482,17214742
2024-10-24,1328.3287,1332.1952,1311.7965,1323.8425,22155934
2024-10-25,1316.4808,1332.8396,1310.6809,1331.9969,18597496
2024-10-28,1322.9252,1341.4155,1310.7801,1325.5525,10824350
2024-10-29,1328.5269,1331.6994,1308.9956,1316.7287,12008361
2024-10-30,1332.3936,1338.4413,1314.0023,1323.5697,11984423
2024-10-31,1320.645,1331.5012,1314.7955,1328.5269,9331650
2024-11-01,1327.1885,1330.4601,1321.5868,1321.6364,2127335
2024-11-04,1291.001,1328.5269,1274.0969,1326.3953,19796890
2024-11-05,1294.124,1298.3376,1275.138,1281.9293,16267479
2024-11-06,1314.0023,1316.9271,1289.0676,1298.7838,21625209
2024-11-07,1294.4711,1312.6639,1291.4471,1312.6639,9611974
2024-11-08,1272.7584,1290.5052,1264.0833,1286.5394,19814406
2024-11-11,1261.803,1274.9892,1256.1518,1267.9995,9056552
2024-11-12,1263.3398,1278.261,1256.6476,1264.6288,10671091
2024-11-13,1241.33,1264.5295,1238.8017,1259.3741,14633633
2024-11-14,1256.7468,1261.704,1240.3881,1242.8667,12612633
2024-11-18,1249.9554,1262.0014,1233.2497,1256.7468,13620611
2024-11-19,1231.0189,1270.5277,1224.5746,1249.9554,14183746
2024-11-21,1212.5287,1233.2993,1206.8279,1231.019,19433843
2024-11-22,1254.5656,1257.986,1211.9832,1218.8738,20471957
2024-11-25,1275.9806,1293.2811,1271.4695,1278.9549,28923341
2024-11-26,1284.6062,1286.7378,1273.2047,1283.8626,9247557
2024-11-27,1282.1276,1292.6864,1274.9893,1282.425,9572746
2024-11-28,1259.9194,1285.4985,1258.1844,1278.9054,15027412
2024-11-29,1281.1361,1288.3737,1264.3313,1269.0406,13202307
2024-12-02,1297.9412,1300.1223,1266.116,1276.9722,11024152
2024-12-03,1311.9698,1315.4399,1295.8094,1305.7237,16869482
2024-12-04,1297.7427,1317.0262,1292.8847,1314.6467,19608540
2024-12-05,1310.7306,1318.5629,1294.9667,1303.0964,16858723
2024-12-06,1300.3204,1312.5647,1298.7837,1312.5647,9037514
2024-12-09,1284.0609,1303.7409,1282.0284,1291.8437,14650002
2024-12-10,1273.849,1283.813,1269.2388,1278.2114,16043729
2024-12-11,1267.256,1278.955,1265.1245,1273.9978,11724373
2024-12-12,1252.087,1267.256,1249.8067,1259.1262,20906813
2024-12-13,1261.9519,1264.2818,1228.9866,1249.2119,28630222
2024-12-16,1257.4409,1270.0321,1255.7059,1264.0835,9486781
2024-12-17,1234.6377,1253.0784,1232.1591,1250.2528,17462791
2024-12-18,1242.5197,1249.1622,1230.0276,1230.0276,12670179
2024-12-19,1219.9148,1234.2411,1218.4773,1228.3916,14244653
2024-12-20,1194.9802,1228.8874,1191.2127,1213.5201,20312896
2024-12-23,1211.8347,1216.6927,1202.8125,1204.5972,10052824
2024-12-24,1212.2808,1222.9883,1210.5457,1211.8347,6734917
2024-12-26,1206.1339,1217.1883,1203.8536,1213.7679,10016178
2024-12-27,1210.5955,1217.3868,1206.5801,1207.869,7000397
2024-12-30,1200.334,1212.727,1197.7563,1205.9853,8818766
2024-12-31,1205.0432,1208.662,1195.8229,1197.657,6405475
2025-01-01,1210.7936,1215.8004,1201.2262,1204.4484,5892590
2025-01-02,1231.1677,1233.7949,1209.5543,1210.7936,15486276
2025-01-03,1240.4377,1251.2444,1224.9217,1233.2498,15521102
2025-01-06,1207.5714,1251.1947,1204.5971,1243.2136,14816766
2025-01-07,1230.2257,1233.8445,1210.7935,1211.5371,10070505
2025-01-08,1254.6648,1260.1673,1234.6873,1238.3061,19346579
2025-01-09,1244.0067,1258.8783,1237.3641,1256.1518,12794704
2025-01-10,1231.2668,1245.9897,1225.4173,1243.1145,8120332
2025-01-13,1229.2344,1234.5882,1215.8996,1219.4687,13764861
2025-01-14,1228.1438,1242.6188,1216.7423,1233.448,13095266
2025-01-15,1241.4785,1246.2375,1231.2172,1234.2906,9578856
2025-01-16,1255.6066,1264.0834,1240.5864,1248.1213,14117603
2025-01-17,1291.1992,1314.6468,1273.9978,1310.9289,29366277
2025-01-20,1294.2727,1304.7324,1289.1173,1304.7324,14040244
2025-01-21,1262.7946,1301.7581,1259.3245,1299.2795,14562976
2025-01-22,1266.1654,1271.9158,1257.8373,1267.3552,10273590
2025-01-23,1252.8306,1266.4132,1250.7981,1259.1262,8720682
2025-01-24,1235.6293,1262.1006,1232.8532,1255.1606,14235970
2025-01-27,1218.8242,1229.8292,1209.5543,1228.4907,9536019
2025-01-28,1223.8312,1234.0925,1208.0673,1227.4003,10568025
2025-01-29,1224.9216,1232.1096,1217.5355,1225.4173,5928156
2025-01-30,1242.3214,1246.2375,1221.8482,1224.9712,9269259
2025-01-31,1254.2682,1256.1519,1238.3061,1245.0974,6584612
2025-02-01,1253.7725,1259.6716,1230.3745,1254.2682,7118453
2025-02-03,1235.2327,1245.2462,1226.9542,1240.289,9252345
2025-02-04,1274.196,1277.7653,1235.9266,1237.3642,16691069
2025-02-05,1267.256,1279.4507,1265.7688,1271.668,10112028
2025-02-06,1270.5774,1276.9721,1259.4732,1262.7945,9956001
2025-02-07,1255.8545,1272.7089,1251.1948,1265.2237,8764283
2025-02-10,1242.9163,1255.6562,1234.8856,1253.6733,6970972
2025-02-11,1224.2772,1253.723,1219.5679,1253.723,8859714
2025-02-12,1206.1339,1216.3953,1183.1325,1209.009,21131654
2025-02-13,1205.6877,1217.4859,1201.6229,1206.6297,8511216
2025-02-14,1206.8279,1213.5201,1195.1289,1208.5629,10298145
2025-02-17,1214.4124,1216.9901,1194.187,1200.7305,8166683
2025-02-18,1214.9082,1219.3697,1205.6878,1214.3629,6673250
2025-02-19,1216.9406,1222.1952,1207.1254,1209.0587,6217338
